               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.020445,            0.010814,                   0,             0.96356,                   1,              0.9681,             0.69322,            0.018498,           0.0063899,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.018178,            0.010212,                   0,             0.96311,                   1,             0.97052,             0.72301,            0.016985,           0.0062304,                   0,            0.007624,            0.007624,            0.007624
                  74,               0.017,            0.010123,                   0,             0.96373,                   1,              0.9719,             0.72701,             0.01809,           0.0070943,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.018074,           0.0099174,                   0,             0.96344,                   1,              0.9681,             0.67207,            0.020499,           0.0086459,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.018639,           0.0099752,                   0,             0.96332,                   1,             0.96672,             0.68755,            0.021063,           0.0077798,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.018285,            0.010569,                   0,             0.96353,                   1,              0.9619,             0.67095,            0.019889,            0.007458,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.017786,            0.010183,                   0,             0.96351,                   1,             0.97293,             0.71101,            0.018173,           0.0069106,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.018294,            0.011034,                   0,             0.96253,                   1,             0.97672,              0.7046,            0.018014,            0.007182,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.017896,           0.0098543,                   0,             0.96338,                   1,             0.98052,             0.72249,            0.018421,           0.0068407,                   0,            0.007393,            0.007393,            0.007393
                  81,             0.01817,             0.01012,                   0,             0.96359,                   1,             0.97052,             0.69731,            0.019244,           0.0067792,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.016462,           0.0099961,                   0,             0.96332,                   1,             0.96914,             0.73082,            0.017425,           0.0070112,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.018684,            0.010178,                   0,             0.96355,                   1,             0.97293,             0.70355,            0.019079,           0.0067656,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.019008,           0.0099149,                   0,             0.96453,                   1,             0.98155,             0.69536,              0.0191,           0.0068728,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.017852,           0.0099038,                   0,             0.96268,                   1,              0.9719,             0.70681,            0.017936,           0.0068175,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.018518,           0.0099105,                   0,              0.9631,                   1,             0.97052,             0.68985,            0.019209,           0.0068862,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.017759,            0.010041,                   0,              0.9643,                   1,              0.9719,             0.69878,             0.01907,           0.0067844,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.019178,            0.010032,                   0,             0.96306,                   1,             0.96069,              0.6749,            0.019865,           0.0068389,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.017868,            0.011453,                   0,             0.96221,                   1,             0.96328,             0.67812,            0.019332,           0.0072329,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.017695,             0.01035,                   0,             0.96359,                   1,             0.96914,              0.7169,            0.018467,           0.0076637,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.017479,            0.010889,                   0,             0.96346,                   1,             0.97534,             0.71311,            0.018065,           0.0081213,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.016819,             0.01062,                   0,             0.96361,                   1,             0.97914,             0.68978,            0.018863,           0.0077131,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.016972,            0.010451,                   0,             0.96422,                   1,             0.98293,             0.70586,            0.018501,            0.007177,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.017832,            0.011017,                   0,             0.96411,                   1,             0.98638,             0.71234,            0.018066,           0.0070898,                   0,            0.006931,            0.006931,            0.006931
